685, 52203, 225
650, 52143, 497
1091, 52902, 117
650, 52143, 217
387, 51791, 166
2822, 54389, 400
2624, 54380, 261
685, 52203, 187
2824, 54452, 272
2630, 54327, 359
685, 52203, 490
2824, 54452, 207
2824, 54452, 432
2630, 54327, 265
2803, 54368, 211
685, 52203, 491
2822, 54389, 273
2822, 54389, 432
2824, 54452, 180
2630, 54327, 273
2630, 54327, 377
2822, 54389, 251
2822, 54389, 371
2630, 54327, 235
685, 52203, 61
750, 52235, 3
751, 52251, 326
2822, 54389, 211
650, 52143, 550
2824, 54452, 184
2824, 54452, 109
2630, 54327, 189
2822, 54389, 414
387, 51791, 5
686, 52519, 297
2822, 54389, 212
2624, 54380, 458
2630, 54327, 179
2824, 54452, 536
2824, 54452, 116
2824, 54452, 593
685, 52203, 621
2630, 54327, 81
751, 52251, 393
2824, 54452, 67
2630, 54327, 539
651, 52141, 382
651, 52141, 389
2824, 54452, 621
2803, 54368, 110
2824, 54452, 95
2630, 54327, 557
2630, 54327, 551
2824, 54452, 562
388, 51793, 448
2822, 54389, 147
388, 51793, 424
2630, 54327, 114
2822, 54389, 155
751, 52251, 528
2824, 54452, 47
651, 52141, 250
2824, 54452, 616
686, 52519, 408
2822, 54389, 54
651, 52141, 230
2630, 54327, 9
651, 52141, 486
651, 52141, 416
1490, 52994, 507
2822, 54389, 112
2822, 54389, 104
2822, 54389, 542
2824, 54452, 16
2630, 54327, 78
2630, 54327, 633
2630, 54327, 640
2822, 54389, 591
2822, 54389, 77
751, 52251, 101
2822, 54389, 613
651, 52141, 579
388, 51793, 74
686, 52519, 572
388, 51793, 1
2822, 54389, 626
652, 52138, 341
686, 52519, 573
686, 52519, 597
687, 52518, 309
752, 52251, 326
652, 52138, 311
652, 52138, 348
652, 52138, 269
651, 52141, 623
752, 52251, 221
389, 51795, 255
687, 52518, 282
687, 52518, 377
652, 52138, 392
389, 51795, 431
686, 52519, 630
687, 52518, 435
1089, 52913, 480
687, 52518, 423
651, 52141, 23
752, 52251, 135
687, 52518, 251
389, 51795, 476
687, 52518, 468
752, 52251, 99
1089, 52913, 599
389, 51795, 493
687, 52518, 127
687, 52518, 166
687, 52518, 131
752, 52251, 584
752, 52251, 590
687, 52518, 100
687, 52518, 525
389, 51795, 571
652, 52138, 519
687, 52518, 60
752, 52251, 606
753, 52233, 319
688, 52203, 348
687, 52518, 562
1468, 52999, 181
752, 52251, 29
687, 52518, 20
688, 52203, 400
390, 51816, 423
390, 51900, 424
687, 52518, 637
390, 51816, 448
390, 51900, 455
687, 52518, 628
688, 52203, 240
688, 52203, 222
687, 52518, 636
688, 52203, 440
653, 52145, 437
1913, 53321, 433
653, 52145, 225
1913, 53321, 196
688, 52203, 404
688, 52203, 466
688, 52203, 186
1088, 52929, 579
1088, 52929, 108
653, 52145, 195
1913, 53321, 168
688, 52203, 164
753, 52233, 459
653, 52145, 452
1912, 53293, 448
753, 52233, 507
688, 52203, 553
1913, 53321, 83
653, 52145, 135
653, 52145, 146
653, 52145, 520
1913, 53321, 512
1088, 52929, 581
1913, 53321, 97
653, 52145, 144
753, 52233, 577
653, 52145, 506
1913, 53321, 513
753, 52233, 562
653, 52145, 504
653, 52145, 156
653, 52145, 141
1913, 53321, 543
1913, 53321, 106
653, 52145, 579
1913, 53321, 561
1468, 52999, 634
653, 52145, 115
689, 52262, 283
391, 51782, 262
689, 52262, 264
689, 52262, 337
689, 52262, 324
689, 52262, 280
417, 51821, 308
391, 51782, 443
417, 51821, 359
417, 51821, 345
417, 51821, 332
417, 51821, 365
417, 51821, 242
391, 51782, 520
417, 51821, 439
654, 52146, 251
689, 52262, 191
654, 52146, 428
2327, 53710, 334
689, 52262, 144
689, 52262, 555
417, 51821, 535
689, 52262, 531
2848, 54453, 503
418, 51817, 346
418, 51884, 346
2327, 53710, 325
418, 51817, 297
418, 51884, 292
418, 51817, 355
418, 51884, 343
2327, 53710, 365
418, 51817, 388
418, 51884, 388
2312, 53709, 250
418, 51817, 386
418, 51884, 393
2327, 53710, 189
690, 52261, 331
417, 51821, 596
418, 51817, 389
418, 51884, 399
418, 51817, 400
418, 51884, 389
654, 52146, 109
2327, 53710, 494
418, 51817, 242
418, 51884, 242
1494, 52937, 498
392, 51793, 439
689, 52262, 638
690, 52261, 396
418, 51817, 247
418, 51884, 247
690, 52261, 390
690, 52261, 373
418, 51817, 223
418, 51884, 221
2058, 53349, 309
2058, 53349, 358
2038, 53327, 307
2058, 53349, 334
2058, 53349, 307
2327, 53710, 444
418, 51817, 476
418, 51884, 472
2058, 53349, 338
392, 51793, 531
690, 52261, 422
418, 51817, 469
418, 51884, 463
1085, 52531, 320
690, 52261, 215
2058, 53349, 267
418, 51817, 494
418, 51884, 490
690, 52261, 211
690, 52261, 175
2327, 53710, 111
1086, 52525, 69
1135, 53018, 65
1135, 53024, 65
418, 51817, 522
418, 51884, 527
418, 51817, 537
418, 51884, 526
2058, 53349, 436
2058, 53349, 248
2058, 53349, 254
1897, 53242, 341
690, 52261, 503
655, 52162, 418
419, 51812, 303
419, 51868, 303
419, 51879, 318
2058, 53349, 470
690, 52261, 564
418, 51817, 561
418, 51884, 567
1897, 53242, 359
2058, 53349, 472
690, 52261, 42
1905, 53613, 288
1905, 53706, 287
392, 51793, 63
1904, 53682, 278
2058, 53349, 188
419, 51812, 274
419, 51868, 263
419, 51879, 280
2058, 53349, 401
2058, 53349, 125
1897, 53242, 330
419, 51812, 330
419, 51868, 330
419, 51879, 321
2327, 53710, 34
